Frequency,QuasiP,DET 2,Limit,Margin,Bandwidth,Height,Pol,Azimuth,Corr.
(MHz),eak,(dB?V/m),(dB?V/,(dB),(kHz),(cm),,(deg),(dB/m
"",(dB?V/,,m),,,,,,)
"",m),,,,,,,,
124.640000,32.46,---,40.00,7.54,120.000,235.0,H,-171.0,14.0
126.200000,33.80,---,40.00,6.20,120.000,262.0,H,-170.0,13.7
129.280000,32.99,---,40.00,7.01,120.000,230.0,H,-162.0,13.2
130.840000,32.98,---,40.00,7.02,120.000,305.0,H,-171.0,13.1
145.720000,39.34,---,40.00,0.66,120.000,101.0,V,23.0,11.8
146.040000,37.92,---,40.00,2.08,120.000,116.0,V,4.0,11.8
146.160000,39.37,---,40.00,0.63,120.000,100.0,V,33.0,11.8
150.200000,36.89,---,40.00,3.11,120.000,100.0,V,19.0,11.5
151.040000,35.54,---,40.00,4.46,120.000,106.0,V,29.0,11.5
221.960000,33.78,---,40.00,6.22,120.000,109.0,H,-56.0,12.5
222.000000,34.93,---,40.00,5.07,120.000,116.0,H,-8.0,12.5
222.960000,34.13,---,40.00,5.87,120.000,108.0,H,0.0,12.5
223.560000,35.79,---,40.00,4.21,120.000,118.0,H,-23.0,12.6
80,
"",
70,
"",
60,
"",
50,Electric Field Strength 3 m QP
"",
40,
"",
30,
"",
20,
"",
10,
